"ID.number","Date","Site","Plot","AM.PM","Quadrant","Field.ID","Field.sex","Lab.ID","Lab.sex","Caught.on","Previously.marked.","Collected.","Notes","collector","unique_id","year"
"MS1",2019-06-26,"Waterfall",2,"AM",2,"Lasioglossum sp.","F","Lasioglossum sp.","F","Taraxacum officinale","N","Y","","M. Stemkovski","2019_37",2019
"MS2",2019-06-26,"Waterfall",2,"AM",2,"Lasioglossum sp.","F","Lasioglossum sp.","F","Taraxacum officinale","N","Y","","M. Stemkovski","2019_38",2019
"MS3",2019-06-26,"Waterfall",6,"AM",2,"Osmia sp.","M","Osmia sp.","M","Taraxacum officinale","N","Y","","M. Stemkovski","2019_39",2019
"",2019-06-26,"Waterfall",6,"AM",2,"Lasioglossum sp.","F",NA,NA,"Taraxacum officinale","N","N","","","",2019
"",2019-06-26,"Waterfall",6,"AM",4,"Lasioglossum sp.","F",NA,NA,"Taraxacum officinale","N","N","","","",2019
"",2019-06-26,"Waterfall",6,"AM",4,"Lasioglossum sp.","F",NA,NA,"Taraxacum officinale","N","N","","","",2019
"",2019-06-26,"Waterfall",6,"AM",2,"Sphecodes sp.","",NA,NA,"Taraxacum officinale","N","N","","","",2019
"AF1",2019-06-26,"Waterfall",4,"AM",4,"Osmia sp.","","Osmia sp.","F","ground","N","Y","","A. Fife","2019_40",2019
"MS4",2019-06-26,"Waterfall",2,"PM",2,"Halictus sp.","F","Halictus virgatellus","F","Taraxacum officinale","N","Y","not rubicundus","M. Stemkovski","2019_41",2019
"",2019-06-26,"Waterfall",6,"PM",2,"Lasioglossum sp.","F",NA,NA,"Taraxacum officinale","N","N","","","",2019
"MS5",2019-06-26,"Waterfall",6,"PM",2,"Halictus sp.","F","Halictus virgatellus","F","Taraxacum officinale","N","Y","not rubicundus","M. Stemkovski","2019_42",2019
"",2019-06-26,"Waterfall",6,"PM",3,"Lasioglossum sp.","F",NA,NA,"Taraxacum officinale","N","N","","","",2019
"",2019-06-26,"Waterfall",3,"PM",3,"Lasioglossum sp.","F",NA,NA,"ground","N","N","","","",2019
"",2019-06-27,"401 Trail",5,"AM",1,"Megachile sp.","F",NA,NA,"ground","N","N","","","",2019
"MS1",2019-06-27,"401 Trail",6,"AM",2,"Lasioglossum sp.","","Lasioglossum sp.","F","Taraxacum officinale","N","Y","","M. Stemkovski","2019_43",2019
"MS2",2019-06-27,"401 Trail",6,"AM",1,"Sphecodes sp.","F","Sphecodes sp.","F","Taraxacum officinale","N","Y","","M. Stemkovski","2019_44",2019
"",2019-06-27,"401 Trail",6,"AM",1,"Lasioglossum sp.","F",NA,NA,"Taraxacum officinale","N","N","","","",2019
"MS3",2019-06-27,"401 Trail",1,"AM",3,"Sphecodes sp.","","Sphecodes sp.","F","ground","N","Y","","M. Stemkovski","2019_45",2019
"",2019-06-27,"401 Trail",6,"PM",1,"Lasioglossum sp.","F",NA,NA,"Taraxacum officinale","N","N","","","",2019
"",2019-06-27,"401 Trail",6,"PM",1,"Lasioglossum sp.","F",NA,NA,"Taraxacum officinale","N","N","","","",2019
"MS4",2019-06-27,"401 Trail",5,"PM",1,"Halictus sp.","F","Halictus virgatellus","F","Viola praemorsa","N","Y","not rubicundus","M. Stemkovski","2019_46",2019
"",2019-06-27,"401 Trail",1,"PM",3,"Sphecodes sp.","",NA,NA,"ground","N","N","","","",2019
"MS5",2019-06-27,"401 Trail",1,"PM",4,"Nomada sp.","","Nomada sp.","F","ground","N","Y","","M. Stemkovski","2019_47",2019
"MS1",2019-06-28,"Waterfall",1,"AM",1,"Lasioglossum sp.","F","Lasioglossum sp.","F","Taraxacum officinale","N","Y","","M. Stemkovski","2019_48",2019
"MS2",2019-06-28,"Waterfall",1,"AM",1,"Lasioglossum sp.","F","Lasioglossum sp.","F","Taraxacum officinale","N","Y","","M. Stemkovski","2019_49",2019
"",2019-06-28,"Waterfall",1,"AM",4,"Lasioglossum sp.","F","","","Taraxacum officinale","N","N","","","",2019
"",2019-06-28,"Waterfall",1,"AM",4,"Lasioglossum sp.","F","","","Taraxacum officinale","N","N","","","",2019
