"Date","Site","AM.weather","PM.weather","Day.s.color","Plot.1.start.AM","Plot.2.start.AM","Plot.3.start.AM","Plot.4.start.AM","Plot.5.start.AM","Plot.6.start.AM","Plot.1.start.PM","Plot.2.start.PM","Plot.3.start.PM","Plot.4.start.PM","Plot.5.start.PM","Plot.6.start.PM","Notes","year"
2019-08-21,"401 Trail","partly cloudy, calm, warm","mostly overcast, calm, warm","blue","12:42:00","10:35:00","11:51:00","12:14:00","11:02:00","11:26:00","14:18:00","16:40:00","14:49:00","13:51:00","15:57:00","15:35:00","",2019
2019-08-22,"Waterfall","partly cloudy, calm, warm","mostly cloudy, calm, warm","yellow","12:23:00","12:50:00","12:04:00","10:58:00","11:34:00","10:30:00","13:58:00","16:10:00","14:16:00","14:50:00","15:25:00","15:46:00","Kind of cold after 15:30",2019
2019-08-23,"401 Trail","partly cloudy, calm, warm","","yellow","","","11:39:00","","11:07:00","","","","","","","","",2019
2019-08-25,"Waterfall","partly cloudy, warm, very windy","","yellow","12:42:00","12:06:00","12:25:00","10:59:00","10:32:00","11:34:00","14:44:00","14:27:00","13:58:00","15:01:00","15:27:00","13:29:00","Plots 6 and 4 were sheltered from the wind",2019
2019-08-26,"401 Trail","calm, clear, warm","calm, clear, warm","yellow","12:25:00","12:44:00","10:41:00","11:10:00","11:39:00","12:05:00","14:13:00","13:52:00","16:17:00","15:23:00","14:37:00","15:43:00","",2019
2019-08-27,"Waterfall","calm, clear, warm","calm, clear, warm","yellow","11:00:00","12:30:00","12:48:00","10:42:00","12:01:00","11:21:00","15:38:00","14:30:00","14:57:00","14:11:00","14:11:00","13:32:00","",2019
2019-08-28,"401 Trail","calm, clear, warm","calm, clear, warm","yellow","12:21:00","10:49:00","11:34:00","11:15:00","11:58:00","12:51:00","14:18:00","16:22:00","15:27:00","15:57:00","13:43:00","14:41:00","",2019
2019-08-29,"Waterfall","partly cloudy, calm, warm","","yellow","11:10:00","11:59:00","12:20:00","12:37:00","10:43:00","11:30:00","","","","","","","overcast and cool after 12:00",2019
2019-08-30,"401 Trail","partly cloudy, calm, warm","","yellow","","","10:49:00","","11:00:00","11:14:00","","","","","","","rain at 11:33 with more coming, ending early",2019
2019-08-31,"Waterfall","partly cloudy, calm, warm","partly cloudy, calm, warm","yellow","12:21:00","10:23:00","11:57:00","11:01:00","10:44:00","11:29:00","14:31:00","14:13:00","14:53:00","13:25:00","13:53:00","13:02:00","",2019
2019-09-02,"401 Trail","partly cloudy, calm, warm","partly cloudy, calm, warm","yellow","10:48:00","11:05:00","11:32:00","12:41:00","12:20:00","11:50:00","14:08:00","14:35:00","14:56:00","13:49:00","13:27:00","15:22:00","",2019
2019-09-03,"Waterfall","partly cloudy, calm, warm","partly cloudy, calm, warm","yellow","12:18:00","10:51:00","12:43:00","11:10:00","11:58:00","11:27:00","14:31:00","15:12:00","14:49:00","13:28:00","14:12:00","13:52:00","",2019
2019-09-04,"401 Trail","partly cloudy, calm, warm","mostly cloudy, calm, warm","yellow","11:40:00","12:17:00","12:35:00","11:04:00","10:47:00","11:54:00","14:44:00","14:58:00","13:38:00","14:14:00","13:57:00","15:15:00","",2019
2021-05-14,"401 Trail","partly cloudy, calm, warm","partly cloudy, calm, warm","yellow","10:35:00","11:02:00","11:21:00","11:39:00","12:01:00","12:29:00","","","","","","","",2021
2021-05-15,"Waterfall","partly cloudy, calm, warm","","","10:29:00","10:48:00","11:09:00","11:27:00","11:48:00","12:21:00","","","","","","","",2021
2021-05-18,"401 Trail","partly cloudy, cool, breezy","","","10:16:00","10:35:00","10:59:00","11:17:00","11:47:00","12:07:00","","","","","","","",2021
2021-05-19,"Waterfall","partly cloudy, calm, warm","","","10:05:00","10:25:00","10:45:00","11:14:00","12:04:00","12:24:00","","","","","","","",2021
2021-05-20,"401 Trail","partly cloudy, breezy, cool","","yellow","10:31:00","10:54:00","11:14:00","11:35:00","12:10:00","","","","","","","","",2021
2021-05-25,"401 Trail","calm, warm, sunny","calm, warm, sunny","yellow","10:11:00","10:28:00","10:48:00","11:09:00","11:32:00","11:51:00","13:19:00","13:02:00","14:52:00","14:47:00","12:46:00","13:44:00","",2021
2021-05-26,"Waterfall","cloudy, cool, calm","cloudy, cool, breezy","yellow","10:26:00","10:47:00","11:05:00","11:22:00","11:40:00","12:03:00","","","12:59:00","","","","",2021
2021-05-27,"401 Trail","calm, clear, warm","calm, clear, warm","red","10:15:00","11:05:00","11:23:00","11:42:00","12:00:00","10:38:00","14:11:00","14:40:00","13:06:00","12:46:00","13:23:00","13:47:00","",2021
2021-05-28,"Waterfall","calm, clear, warm","calm, mostly clear, warm","red","09:37:00","09:57:00","10:14:00","10:56:00","11:13:00","10:31:00","13:00:00","12:39:00","12:23:00","13:36:00","13:16:00","12:05:00","",2021
2021-05-29,"401 Trail","calm, clear, warm","breezy, cloudy, cool","red","10:03:00","10:22:00","10:58:00","11:28:00","11:44:00","12:00:00","","","","","13:11:00","13:30:00","",2021
2021-06-01,"401 Trail","partly cloudy, calm, warm","mostly cloudy, calm, warm","purple","09:41:00","10:05:00","10:45:00","11:24:00","11:04:00","10:25:00","14:12:00","13:51:00","12:53:00","12:09:00","12:28:00","13:11:00","",2021
2021-06-02,"Waterfall","calm, warm, partly cloudy","calm, warm, mostly cloudy","purple","11:05:00","11:23:00","12:14:00","10:24:00","12:25:00","11:52:00","13:17:00","13:48:00","14:00:00","14:20:00","13:01:00","13:17:00","",2021
2021-06-04,"401 Trail","calm, warm, clear","calm, clear, warm","purple","10:08:00","10:50:00","11:02:00","10:42:00","09:50:00","10:01:00","11:49:00","12:58:00","12:59:00","13:26:00","12:26:00","11:51:00","",2021
2021-06-05,"Waterfall","calm, clear, warm","partly cloudy, calm, warm","purple","12:12:00","11:41:00","12:57:00","11:01:00","11:23:00","12:34:00","","13:47:00","","13:30:00","","14:05:00","",2021
2021-06-06,"401 Trail","calm, clear, warm","calm, mostly cloudy, warm","purple","10:19:00","11:19:00","11:35:00","11:02:00","11:39:00","11:59:00","13:37:00","","","","14:20:00","13:59:00","",2021
2021-06-07,"Waterfall","calm, clear, warm","calm, partly cloudy, warm","green","11:23:00","11:05:00","10:17:00","09:56:00","09:27:00","10:39:00","13:58:00","","14:17:00","","","13:39:00","",2021
2021-06-08,"401 Trail","breezy, clear, warm","breezy, clear, warm","green","09:45:00","10:44:00","10:10:00","09:44:00","10:15:00","10:48:00","12:00:00","12:28:00","13:00:00","11:58:00","12:58:00","12:26:00","",2021
2021-06-09,"Waterfall","calm, clear, warm","calm, clear, warm","green","11:07:00","10:35:00","10:51:00","10:09:00","11:46:00","11:26:00","12:27:00","12:54:00","14:25:00","13:11:00","13:57:00","13:32:00","",2021
2021-06-10,"401 Trail","mostly cloudy, warm, breezy","mostly cloudy, warm, windy","orange","10:49:00","12:15:00","11:49:00","10:02:00","11:25:00","12:44:00","13:51:00","14:53:00","14:39:00","13:34:00","14:09:00","15:13:00","",2021
2021-06-11,"Waterfall","calm, clear, warm","calm, clear, warm","green","11:46:00","11:27:00","12:23:00","12:05:00","11:08:00","10:47:00","13:43:00","13:21:00","14:38:00","13:07:00","14:22:00","13:58:00","",2021
2021-06-13,"401 Trail","calm, clear, warm","calm, clear, warm","green","11:16:00","12:15:00","12:32:00","10:54:00","12:52:00","11:47:00","14:32:00","15:17:00","13:48:00","14:10:00","","14:51:00","",2021
2021-06-14,"Waterfall","warm, clear, breezy","warm, clear, breezy","green","12:06:00","10:51:00","09:53:00","11:38:00","10:19:00","12:34:00","13:28:00","14:11:00","13:12:00","13:42:00","13:56:00","14:26:00","",2021
2021-06-15,"401 Trail","calm, clear, warm","calm, clear, warm","orange","11:22:00","12:00:00","10:35:00","11:41:00","10:54:00","10:15:00","14:37:00","13:50:00","13:28:00","14:06:00","12:43:00","13:05:00","",2021
2021-06-16,"Waterfall","clear, warm, light breeze","partly cloudy, breezy, warm","purple","10:33:00","09:58:00","11:04:00","09:18:00","11:35:00","12:10:00","13:42:00","13:26:00","14:00:00","13:05:00","14:17:00","14:35:00","",2021
2021-06-17,"401 Trail","calm, clear, warm","calm, mostly clear, warm","orange","09:46:00","10:41:00","10:07:00","10:25:00","10:58:00","11:17:00","12:40:00","12:24:00","13:35:00","","13:14:00","12:56:00","",2021
2021-06-18,"Waterfall","partly cloudy, warm, breezy","partly cloudy, warm, breezy","green","11:03:00","09:48:00","10:28:00","11:34:00","09:23:00","11:57:00","13:24:00","13:07:00","13:46:00","14:03:00","12:49:00","14:21:00","",2021
2021-06-19,"401 Trail","calm, partly cloudy, warm","calm, partly cloudy, warm","orange","10:50:00","10:30:00","11:26:00","10:11:00","11:07:00","11:44:00","","","12:50:00","","13:12:00","","Weather turned at 13:30",2021
2021-06-20,"Waterfall","calm, clear, warm","breezy, partly cloudy, warm","orange","10:25:00","11:10:00","10:07:00","11:51:00","11:29:00","10:45:00","12:41:00","","13:10:00","","","12:23:00","",2021
2021-06-21,"401 Trail","calm, clear, warm","calm, clear, warm","orange","09:39:00","11:39:00","10:48:00","10:18:00","09:56:00","11:12:00","14:18:00","12:27:00","13:04:00","14:01:00","14:33:00","13:24:00","",2021
2021-06-22,"Waterfall","partly cloudy, windy, cool","partly cloudy, windy, warmish","pink","09:36:00","10:51:00","11:46:00","10:06:00","11:14:00","12:08:00","13:06:00","14:07:00","14:40:00","13:42:00","14:23:00","14:54:00","",2021
2021-06-23,"401 Trail","calm, mostly cloudy, coolish","calm, mostly cloudy, coolish","orange","11:22:00","10:35:00","09:44:00","10:15:00","10:56:00","11:40:00","13:13:00","","14:16:00","13:58:00","12:46:00","13:37:00","",2021
2021-06-24,"Waterfall","mostly cloudy, cool, breezy","","green","12:26:00","11:26:00","11:08:00","10:38:00","11:58:00","12:51:00","","","","","","","",2021
2021-06-25,"401 Trail","calm, cool, partly cloudy","breezy, cool, mostly cloudy","orange","10:20:00","11:32:00","10:39:00","10:56:00","09:57:00","11:16:00","","13:46:00","13:10:00","12:49:00","14:12:00","12:25:00","",2021
2021-06-28,"401 Trail","calm, mostly clear, cool","calm, mostly clear, cool","orange","10:42:00","11:10:00","10:13:00","11:48:00","09:58:00","11:28:00","13:06:00","13:26:00","","13:53:00","","14:11:00","",2021
2021-06-28,"Waterfall","mostly sunny, cool, slight breeze","mostly cloudy, cool, slight breeze","purple","10:42:00","11:45:00","11:23:00","09:45:00","10:14:00","13:05:00","14:48:00","15:03:00","14:50:00","13:41:00","14:19:00","15:04:00","",2021
2021-07-01,"401 Trail","calm, partly cloudy, warm","","orange","10:34:00","11:13:00","12:53:00","12:08:00","10:56:00","12:30:00","","","","","","","",2021
2021-07-02,"Waterfall","partly cloudy, warm, breezy","partly cloudy, warm, breezy","pink","10:05:00","13:56:00","11:10:00","12:07:00","09:31:00","14:30:00","15:57:00","16:14:00","15:13:00","14:52:00","15:38:00","16:26:00","",2021
2021-07-05,"401 Trail","calm, partly cloudy, warm","","orange","","","11:12:00","12:23:00","","10:38:00","","","","","","","",2021
2021-07-06,"Waterfall","calm, partly cloudy, warm","calm, partly cloudy, warm","orange","10:30:00","12:52:00","10:55:00","11:21:00","11:48:00","12:20:00","","","","","","","",2021
2021-07-07,"401 Trail","calm, clear, warm","calm, clear, warm","orange","12:01:00","12:31:00","11:16:00","10:55:00","11:35:00","10:36:00","","","","14:03:00","","","",2021
2021-07-08,"Waterfall","warm, clear, light breeze","partly cloudy, warm, breezy","pink","10:26:00","12:48:00","11:35:00","10:57:00","09:41:00","12:52:00","15:26:00","16:01:00","15:43:00","14:26:00","15:09:00","16:14:00","",2021
2021-07-09,"401 Trail","calm, clear, warm","calm, partly cloudy, warm","orange","10:46:00","10:24:00","11:11:00","11:30:00","11:47:00","10:00:00","","","","","","","",2021
2021-07-13,"Waterfall","mostly cloudy, warm, light breeze","","green","10:13:00","12:07:00","11:32:00","11:02:00","09:31:00","12:41:00","","","","","13:28:00","","",2021
2021-07-15,"401 Trail","clear, cool, light breeze","mostly cloudy, warm, breezy","purple","10:27:00","11:46:00","11:11:00","12:11:00","12:50:00","13:11:00","14:13:00","14:55:00","14:35:00","15:11:00","15:26:00","15:39:00","",2021
2021-07-19,"Waterfall","calm, clear, warm","partly cloudy, warm, breezy","pink","10:29:00","09:32:00","10:01:00","11:26:00","11:04:00","12:03:00","13:40:00","13:05:00","13:23:00","14:11:00","13:56:00","14:25:00","",2021
2021-07-21,"401 Trail","warm, partly cloudy, breezy","","","12:40:00","11:21:00","10:06:00","10:42:00","11:55:00","13:26:00","","","13:58:00","","","","",2021
2021-07-23,"Waterfall","cool, clear, breezy","cloudy, cool, windy","green","10:22:00","10:01:00","10:46:00","09:30:00","11:23:00","11:54:00","","","","12:53:00","","","",2021
